Sr. No.,Location,Spread rate
1,MADHYAPRADESH_SATNA,53.76
2,UTTARPRADESH_FIROZABAD,39.65
3,UTTARAKHAND_DEHRADUN,34.51
4,WESTBENGAL_PURBAMEDINIPUR,29.43
5,UTTARPRADESH_KANPURNAGAR,27.21
6,PUNJAB_JALANDHAR,23.1
7,TAMILNADU_COIMBATORE,17.56
8,GOA_NORTHGOA,17.29
9,TAMILNADU_MADURAI,16.49
10,PUNJAB_LUDHIANA,14.38
11,GOA_SOUTHGOA,9.81
12,CHANDIGARH_CHANDIGARH,8.26
13,MAHARASHTRA_NAGPUR,8.13
14,GUJARAT_SURAT,3.96
15,MAHARASHTRA_SOLAPUR,3.17
16,MAHARASHTRA_THANE,3.15
17,ODISHA_KHORDHA,3.12
18,UTTARPRADESH_SONBHADRA,2.67
19,JHARKHAND_EASTSINGHBHUM,2.25
20,CHHATTISGARH_DURG,2.2
21,NATIONALCAPITALTERRITORYOFDELHI_CENTRALDELHI,2.13
22,MADHYAPRADESH_BHOPAL,1.94
23,PUDUCHERRY_PONDICHERRY,1.8
24,RAJASTHAN_JAIPUR,1.73
25,KARNATAKA_BENGALURURURAL,1.72
26,UTTARPRADESH_LUCKNOW,1.6
27,UTTARPRADESH_GHAZIABAD,1.36
28,HIMACHALPRADESH_SOLAN,1.33
29,ODISHA_CUTTACK,1.3
30,MADHYAPRADESH_GWALIOR,1.29
31,RAJASTHAN_ALWAR,1.28
32,CHHATTISGARH_RAIPUR,1.24
33,GUJARAT_VADODARA,1.22
34,MADHYAPRADESH_CHHATARPUR,1.18
35,MADHYAPRADESH_UJJAIN,1.18
36,MADHYAPRADESH_INDORE,1.16
37,GUJARAT_BHARUCH,1.12
38,TELANGANA_HYDERABAD,1.09
39,HARYANA_FARIDABAD,0.96
40,UTTARPRADESH_VARANASI,0.96
41,MADHYAPRADESH_JABALPUR,0.84
42,TAMILNADU_CHENNAI,0.76
43,UTTARPRADESH_AGRA,0.72
44,TELANGANA_WARANGALURBAN,0.72
45,ASSAM_DIBRUGARH,0.69
46,ASSAM_HAILAKANDI,0.59
47,RAJASTHAN_UDAIPUR,0.58
48,RAJASTHAN_KOTA,0.56
49,ASSAM_SIVASAGAR,0.54
50,RAJASTHAN_JODHPUR,0.5
51,ASSAM_KAMRUP,0.49
52,MADHYAPRADESH_DEWAS,0.49
53,UTTARPRADESH_GORAKHPUR,0.45
54,KARNATAKA_DAKSHINAKANNADA,0.43
55,UTTARAKHAND_NAINITAL,0.41
56,PUNJAB_PATIALA,0.41
57,ASSAM_CACHAR,0.41
58,KARNATAKA_DHARWAD,0.41
59,ANDHRAPRADESH_VISAKHAPATNAM,0.38
60,ASSAM_GOLAGHAT,0.37
61,WESTBENGAL_HOWRAH,0.36
62,KARNATAKA_RAICHUR,0.36
63,UTTARPRADESH_JHANSI,0.34
64,UTTARPRADESH_GAUTAMBUDDHNAGAR,0.33
65,HIMACHALPRADESH_SHIMLA,0.33
66,MIZORAM_AIZAWL,0.32
67,MIZORAM_CHAMPHAI,0.31
68,MEGHALAYA_EASTKHASIHILLS,0.29
69,JHARKHAND_RANCHI,0.25
70,HARYANA_PANCHKULA,0.25
71,KERALA_THIRUVANANTHAPURAM,0.24
72,MADHYAPRADESH_RATLAM,0.23
73,GUJARAT_GANDHINAGAR,0.23
74,UTTARPRADESH_BULANDSHAHR,0.23
75,BIHAR_PATNA,0.22
76,UTTARPRADESH_MATHURA,0.21
77,MAHARASHTRA_AURANGABAD,0.2
78,MAHARASHTRA_AKOLA,0.19
79,ASSAM_SONITPUR,0.18
80,UTTARPRADESH_BAREILLY,0.17
81,ANDHRAPRADESH_CHITTOOR,0.17
82,KARNATAKA_KALABURAGI,0.17
83,TAMILNADU_SALEM,0.16
84,GUJARAT_JAMNAGAR,0.15
85,KERALA_KOZHIKODE,0.15
86,ANDHRAPRADESH_KURNOOL,0.15
87,GUJARAT_RAJKOT,0.15
88,UTTARPRADESH_ALLAHABAD,0.14
89,MADHYAPRADESH_SINGRAULI,0.14
90,GUJARAT_AHMEDABAD,0.13
91,ANDHRAPRADESH_VIZIANAGARAM,0.12
92,MAHARASHTRA_NANDED,0.11
93,MAHARASHTRA_NASHIK,0.1
94,ASSAM_JORHAT,0.1
95,CHHATTISGARH_KORBA,0.1
96,KARNATAKA_HAVERI,0.08
97,MADHYAPRADESH_SHAHDOL,0.07
98,MADHYAPRADESH_HOSHANGABAD,0.07
99,ANDHRAPRADESH_ANANTAPUR,0.07
100,ODISHA_PURI,0.07
101,CHHATTISGARH_BILASPUR,0.07
102,RAJASTHAN_BUNDI,0.06
103,MAHARASHTRA_PUNE,0.06
104,MAHARASHTRA_LATUR,0.06
105,ODISHA_RAYAGADA,0.05
106,HARYANA_HISSAR,0.04
107,ODISHA_ANGUL,0.03
108,KARNATAKA_DAVANAGERE,0.02
109,HARYANA_BHIWANI,0.02
110,NAGALAND_DIMAPUR,0.02
111,ASSAM_TINSUKIA,0.02
112,ASSAM_DHEMAJI,0.02
113,MAHARASHTRA_CHANDRAPUR,0.02
114,KARNATAKA_BELAGAVI,0.01
115,PUNJAB_SAHIBZADAAJITSINGHNAGAR,0.01
116,MADHYAPRADESH_DHAR,0.01
117,ANDHRAPRADESH_SRIKAKULAM,0.01
118,ODISHA_BALASORE,0
119,JHARKHAND_DHANBAD,0
120,MEGHALAYA_RIBHOI,0
121,GUJARAT_MORBI,0
122,SIKKIM_EASTSIKKIM,0
123,TELANGANA_SANGAREDDY,0
124,KARNATAKA_CHITRADURGA,-0.01
125,UTTARPRADESH_MEERUT,-0.01
126,ASSAM_NAGAON,-0.01
127,MAHARASHTRA_AMRAVATI,-0.01
