rspm,no2,so2,rainfall,humidity,temperature,year,quarter,No of districts,Locations
rspm_good,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2005,4,1,['HIMACHALPRADESH_SHIMLA']
rspm_good,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2006,1,1,['HIMACHALPRADESH_SHIMLA']
rspm_good,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2011,1,1,['HIMACHALPRADESH_UNA']
rspm_good,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2013,1,1,['MIZORAM_LUNGLEI']
rspm_good,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2020,1,1,['UTTARPRADESH_SAHARANPUR']
rspm_good,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2021,1,1,['UTTARPRADESH_SAHARANPUR']
rspm_good,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2022,1,1,['UTTARPRADESH_SAHARANPUR']
rspm_good,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2023,1,1,['UTTARPRADESH_SAHARANPUR']
rspm_good,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2024,1,1,['UTTARPRADESH_SAHARANPUR']
rspm_good,no2_safe,so2_potential,rainfall_low,humidity_low,temperature_low,2025,1,1,['UTTARPRADESH_SAHARANPUR']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2001,1,4,"['BIHAR_PATNA' 'HIMACHALPRADESH_KANGRA' 'HIMACHALPRADESH_SHIMLA'
  'HIMACHALPRADESH_SIRMAUR']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2001,4,3,"['HIMACHALPRADESH_KANGRA' 'HIMACHALPRADESH_SIRMAUR'
  'HIMACHALPRADESH_SOLAN']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2002,1,3,"['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_KANGRA'
  'HIMACHALPRADESH_SIRMAUR']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2002,4,3,"['HIMACHALPRADESH_KANGRA' 'HIMACHALPRADESH_SIRMAUR'
  'HIMACHALPRADESH_SOLAN']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2004,1,3,['HIMACHALPRADESH_KANGRA' 'HIMACHALPRADESH_SHIMLA' 'HIMACHALPRADESH_SOLAN']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2004,4,2,['HIMACHALPRADESH_KANGRA' 'HIMACHALPRADESH_SIRMAUR']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2006,1,2,['HIMACHALPRADESH_SOLAN' 'MIZORAM_AIZAWL']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2006,4,1,['HIMACHALPRADESH_SOLAN']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2007,1,1,['HIMACHALPRADESH_SOLAN']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2007,4,3,['HIMACHALPRADESH_KANGRA' 'HIMACHALPRADESH_SHIMLA' 'PUNJAB_RUPNAGAR']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2008,1,3,['HIMACHALPRADESH_KANGRA' 'HIMACHALPRADESH_SHIMLA' 'PUNJAB_RUPNAGAR']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2008,4,1,['HIMACHALPRADESH_KANGRA']
