Location,spread_rate,
UTTARPRADESH_FIROZABAD',396.5,
MADHYAPRADESH_SATNA',53.76470588,
UTTARAKHAND_DEHRADUN',34.51428571,
WESTBENGAL_PURBAMEDINIPUR',29.43333333,
UTTARPRADESH_KANPURNAGAR',27.20547945,
PUNJAB_JALANDHAR',23.09677419,
TAMILNADU_COIMBATORE',17.55555556,
GOA_NORTHGOA',17.28571429,
TAMILNADU_MADURAI',16.49206349,
PUNJAB_LUDHIANA',14.38461538,
GOA_SOUTHGOA',9.8125,
CHANDIGARH_CHANDIGARH',8.258992806,
MAHARASHTRA_NAGPUR',8.125827815,
GUJARAT_SURAT',3.955737705,
MAHARASHTRA_SOLAPUR',3.171568627,
MAHARASHTRA_THANE',3.152329749,
ODISHA_KHORDHA',3.118644068,
UTTARPRADESH_SONBHADRA',2.669117647,
JHARKHAND_EASTSINGHBHUM',2.25,
CHHATTISGARH_DURG',2.201298701,
NATIONALCAPITALTERRITORYOFDELHI_CENTRALDELHI',2.127118644,
MADHYAPRADESH_BHOPAL',1.9376,
PUDUCHERRY_PONDICHERRY',1.803030303,
RAJASTHAN_JAIPUR',1.731997834,
KARNATAKA_BENGALURURURAL',1.721052632,
UTTARPRADESH_LUCKNOW',1.597484277,
UTTARPRADESH_GHAZIABAD',1.361653272,
HIMACHALPRADESH_SOLAN',1.326241135,
ODISHA_CUTTACK',1.303854875,
MADHYAPRADESH_GWALIOR',1.291935484,
RAJASTHAN_ALWAR',1.278145695,
CHHATTISGARH_RAIPUR',1.243478261,
GUJARAT_VADODARA',1.22027027,
MADHYAPRADESH_CHHATARPUR',1.178403756,
MADHYAPRADESH_UJJAIN',1.175853018,
MADHYAPRADESH_INDORE',1.163561077,
GUJARAT_BHARUCH',1.116352201,
TELANGANA_HYDERABAD',1.086917563,
HARYANA_FARIDABAD',0.961876833,
UTTARPRADESH_VARANASI',0.961538462,
MADHYAPRADESH_JABALPUR',0.844936709,
TAMILNADU_CHENNAI',0.755458515,
UTTARPRADESH_AGRA',0.724074074,
TELANGANA_WARANGALURBAN',0.720930233,
ASSAM_DIBRUGARH',0.688487585,
ASSAM_HAILAKANDI',0.587155963,
RAJASTHAN_UDAIPUR',0.577464789,
RAJASTHAN_KOTA',0.557840617,
ASSAM_SIVASAGAR',0.53968254,
RAJASTHAN_JODHPUR',0.50245098,
ASSAM_KAMRUP',0.494117647,
MADHYAPRADESH_DEWAS',0.489855073,
UTTARPRADESH_GORAKHPUR',0.45320715,
