gbr,rfr,dtr,xgbr,nn
12.82285444,-24.3316567,-44.1499787,12.68069458,-15.12002563
-163.4000912,-164.1448431,-225.8233438,-119.093338,-5.019798279
102.8400158,7.298784012,-61.14285714,-40.82189941,-115.487793
32.72016994,5.291465054,18.34440104,35.70465088,-47.33145142
-87.44568479,-170.443222,-311.1499787,-38.59028625,-17.94651794
-25.25508944,55.34298072,84.34440104,-32.27487183,-627.2353516
-63.68239153,-43.52293876,72.34440104,-44.73529053,21.70005798
-136.9689316,-197.2536658,-216.1499787,-66.64523315,-12.60754395
88.69838119,45.59318036,44.17665615,31.29000854,-7.438323975
-96.3155872,-89.6075349,-82.1499787,-63.43460083,-0.637054443
381.2758929,669.7827641,262.6,188.6836548,140.4172363
-68.27983006,-49.6796013,-82.65559896,-36.7664032,15.68440247
102.5124468,260.0437939,250.8500213,76.28320313,15.87744141
-33.9506101,-65.84282415,-79.1499787,-32.29037476,10.06054688
-43.63625874,45.76773648,227.8500213,4.850402832,-65.8079834
-144.566792,-179.4285094,-213.1499787,-138.1088867,-14.70500183
248.1793377,413.3947522,553.8500213,212.4022827,234.6709595
18.9526935,35.72742016,20.8500213,9.819610596,-80.95153809
-51.34369828,-93.25991015,-109.1499787,-29.89871216,10.49139404
100.2181055,80.84940358,114.344401,49.42266846,10.36871338
104.3958348,98.08725548,62.06818182,32.32385254,123.1773071
146.4579184,188.1977435,177.8500213,48.56265259,-23.07598877
-67.88965192,-53.04574095,-69.65559896,-37.66046143,-15.46826172
-113.6482261,-89.80078992,-103.655599,-81.43467712,-0.117912292
-33.6714635,68.20842096,106.8500213,-59.81921387,-113.3197021
-44.31851897,-1.647542872,-16.70588235,-16.87466049,0.067915916
106.2313277,37.90328856,-27.4,73.61032104,30.09655762
-112.935494,-146.7714164,-166.1499787,-82.22924805,-59.50463867
-78.75839314,-54.22587937,-84.65559896,-48.51631165,1.620010376
26.40059018,12.6583367,24.34440104,16.95808411,-2.967605591
-16.35559297,-25.21234678,-17.1499787,-29.59521484,-40.87878418
60.07796389,53.31949671,87.34440104,66.93310547,-28.62008667
-67.46108351,-93.54859733,-146.8233438,-43.83065796,-27.6791687
-35.99251332,-20.93222058,-6.655598958,-26.78620911,13.81141663
36.28681293,123.7590949,371.8500213,39.73187256,-159.7794189
90.63593167,71.95608014,73.25,74.16717529,69.76623535
-95.85478203,-108.4637034,-92.84937238,-88.23342896,-57.12353516
112.9132117,138.6090578,173.344401,109.0900726,91.76678467
146.1351745,71.89032128,161.1506276,140.3893433,112.859314
-77.90985679,-11.2294401,-36.17647059,-76.98608398,0.939231873
41.1671046,27.87628166,30.34440104,52.72946167,-17.57176208
-161.6977123,-163.5799901,-177.8233438,-109.7570801,14.69393158
41.62553953,173.9839977,186.8500213,25.00708008,-93.81414795
-95.99839658,-69.48742953,-133.655599,-38.54488373,3.327926636
87.20785378,226.5470651,247.8500213,29.51434326,1.538574219
-95.81840535,-111.8091042,-127.1499787,-46.28414917,-48.92736816
60.85931356,34.40671577,12.8500213,45.68563843,25.4954834
-20.80625614,-34.25771885,-119.125,-12.62744141,-98.3973999
2.169678182,-84.38524762,17.85714286,8.411376953,45.91040039
43.47727518,20.90769935,29.25,2.51940918,-60.04040527
-291.0137437,-321.0476702,-350.1499787,-111.4369659,0.526329041
127.876573,205.1494729,205.8500213,21.66558838,4.846801758
59.29042314,40.76255097,41.34440104,63.12304688,18.72128296
-8.195982949,119.5595784,117.8500213,-22.71783447,-82.30249023
76.04103821,85.23444784,66.15062762,77.89251709,51.77368164
78.75900881,124.0350224,133.8500213,37.78442383,-7.437316895
173.4892623,-2.502141431,8.333333333,124.0970459,5.506408691
-159.8838798,-136.3301965,-121.655599,-128.1206818,-8.660881042
154.7072304,48.56141538,104,131.303833,24.90118408
87.77052875,83.64471969,136.344401,48.36453247,-0.720031738
-132.050388,-116.8964533,-75.65559896,-90.87257385,28.54325104
-104.9238645,-124.1957897,-144.1499787,-55.6491394,-13.94137573
-54.99836677,-81.84436045,-99.1499787,-43.67550659,7.938354492
82.06881892,64.47403612,167.1506276,36.92199707,-21.85253906
103.7497621,85.3484319,82.17665615,97.81340027,71.90725708
37.84656539,33.60787132,71.34440104,24.44404602,-27.41333008
-76.2071273,-58.76977998,-37.65559896,-38.95854187,-4.096099854
-215.8631881,-141.4233841,-143.1499787,-79.39208984,2.117980957
-157.4865362,-174.2555112,-178.1499787,-119.7055054,-52.62355042
57.21850616,75.46303698,74.34440104,55.28869629,-6.568878174
-33.46573611,-31.70989708,-45.1499787,-29.60031128,-19.23361206
97.1324574,88.91494158,74.8500213,97.51339722,115.7944031
-129.6435076,-96.50314839,-110.8493724,-131.6106567,-58.39736938
163.2489363,179.8696587,87.06818182,138.4973755,104.7634277
56.88606637,-12.10530807,-18.25,30.00930786,-11.65368652
132.8177626,192.5229044,333.8500213,52.27960205,15.45959473
-121.7208166,-140.394733,-157.1499787,-116.4293823,-44.73468018
-181.8435853,-146.0704698,-137.1499787,-157.4734192,-83.13839722
76.07694869,54.75909663,58.34440104,84.71702576,37.83010864
-24.40747322,4.419477088,14.29411765,-1.994094849,2.886444092
61.9862563,25.98587399,2.850021304,42.21224976,23.70098877
-84.48316351,-98.4613164,-155.1499787,-36.1512146,-30.94061279
344.825612,267.5122017,-43.5,148.9000244,150.3345337
-125.7393262,-117.743508,-152.8493724,-107.690033,-65.43745422
21.08422018,23.09221355,41.34440104,23.41560364,35.28311157
146.0109622,114.5107815,139.344401,135.2498779,80.06585693
92.06636322,166.6915717,183.8500213,113.5192871,166.5011902
-128.7359327,-143.7865627,-156.1499787,-106.7232056,-53.51324463
-18.97575781,-14.07247171,-20.1499787,-1.124786377,-10.17242432
-160.8092366,-148.4825632,-127.655599,-112.7055817,-11.94963074
182.8215281,311.249375,320.8500213,92.46014404,45.85455322
231.5908582,294.6255279,303.8500213,166.7085266,201.9407959
-51.15420181,-35.95331284,-35.65559896,-43.92449951,-1.35067749
58.24076514,-136.0679191,101.8,1.078430176,-102.3764648
-170.5910139,-218.5249845,-215.1499787,-120.5394897,-42.05947876
33.83033698,20.40047975,35.34440104,19.26927185,-3.862136841
43.97916532,39.27914346,28.8500213,45.40731812,100.7331543
-11.37997007,-10.36770523,10.34440104,-27.65109253,-6.251235962
81.43109402,161.7787326,336.344401,55.43280029,-199.3774414
-215.400251,-165.4774595,-175.1499787,-193.1968384,-96.26785278
-69.07942279,-56.41150175,-15.65559896,-61.28224182,-36.41644287
111.6379229,77.92621047,104.1766562,73.37564087,-46.22064209
33.97295941,49.67895845,62.17665615,39.56216431,51.00567627
8.005953106,25.12983728,30.34440104,16.16333008,31.8137207
-81.46541271,-128.4298027,-92.65559896,-40.77012634,0.815750122
-99.89359245,-89.56381364,-95.65559896,-60.14155579,26.54664612
-169.7217962,-149.7409379,-146.1499787,-100.5141296,-7.890899658
-14.77266393,27.59000296,25.8500213,-28.77407837,-117.7589722
78.4839583,290.3310646,328.8500213,37.76855469,40.67669678
370.8656789,277.6530124,383.344401,113.401825,6.596984863
138.7705287,139.0441932,187.344401,99.36453247,53.45135498
-37.26630927,-35.26933919,23.4,-44.95123291,-61.96466064
-80.61875119,-76.02753468,-43.65559896,-73.48742676,8.783599854
85.93584639,118.2877119,150.344401,98.8021698,-1.290527344
-124.432195,-133.6772214,-133.1499787,-103.2637939,-1.380355835
-217.2172642,-220.9548837,-188.8233438,-182.6301575,-1.654502869
-37.79977449,-23.39797583,-17.65559896,-20.96893311,-12.63931274
-77.48447103,-73.87138678,-37.65559896,-48.36849976,-29.7028656
-86.44530143,-114.6788368,-134.1499787,-87.243927,25.4485321
-152.7898301,-173.6041877,-189.1499787,-111.4485474,-42.28746033
-40.52005285,-2.153990923,5.850021304,-20.19918823,20.94616699
-2.265270351,21.50282816,27.8500213,-21.3711853,-5.816345215
20.07838121,19.79978586,-24.65559896,22.7265625,21.46936035
9.544957083,-42.4410112,-128.0882353,1.106872559,-115.2314453
-24.40531677,-8.28386112,5.344401042,-36.90989685,2.243850708
-70.70957686,-81.21154322,-88.65559896,-67.0712738,-50.14044189
54.16495924,81.76769768,-74.93181818,45.15795898,-111.7762451
-0.8707022,82.18999981,133.8500213,-54.79406738,-115.6167603
116.3781762,62.16855918,32.125,65.25244141,54.48370361
52.0731165,39.37213696,52.34440104,66.60853577,-17.84436035
96.63350064,64.73036216,101.344401,94.15376282,0.067626953
-100.4053168,-79.27386665,-70.65559896,-61.07455444,-1.69153595
-87.90007147,-151.5171343,-200.1499787,-59.17474365,4.772521973
330.5801496,251.2093421,389.344401,120.9006958,-12.57281494
-113.045263,-104.8227794,-106.655599,-61.87388611,-26.0579834
-108.645844,-81.52090842,-166.8233438,-100.3906403,1.021865845
19.99013589,23.02070448,10.8500213,13.68832397,139.6772919
88.1787516,285.9445968,308.8500213,60.59936523,75.34057617
-43.54912761,-50.63037353,-44.1499787,-41.93441772,17.61724854
-178.7914671,-90.19200516,-80.65559896,-38.1900177,-444.0082397
118.9843155,179.9175635,180.8500213,87.83297729,134.6680908
-124.6822129,-141.396255,-160.1499787,-121.884491,25.86447144
-159.8779337,-113.4310031,-166.8493724,-129.851532,-15.62402344
-38.52545685,-68.5329207,-94.65559896,-21.45111847,1.132102966
54.01096218,25.77082034,47.34440104,43.24987793,-13.48202515
-18.75839314,-17.7729131,-24.65559896,-10.39146423,-36.85124207
65.73954697,66.15018207,53.8500213,74.94415283,7.240936279
-151.7652902,-193.0539982,-213.1499787,-87.82925415,43.19037628
-139.2605493,-145.8894077,-168.1499787,-79.56350708,-0.143249512
-172.1800293,-129.1165484,-162.8233438,-96.24531555,2.422744751
-157.4169341,-200.6346228,-193.1499787,-116.7666016,-101.0733643
143.5943602,292.8392288,599.8500213,96.93878174,249.1193848
-4.643507616,-17.78656157,14.15062762,-6.610656738,-5.476654053
-131.9535854,-84.02247918,-76.1499787,-94.35916138,-5.269714355
23.08951369,29.653092,53.34440104,40.37268066,-12.19421387
-90.3513378,-83.57298679,-96.65559896,-69.28126526,2.4245224
-100.2431935,-133.5954629,-160.655599,-55.202034,-15.4116478
325.3266095,177.4774829,330.1506276,138.3463135,31.23779297
-82.67278365,-99.77535711,-91.1499787,-51.98965454,-2.437316895
183.3589929,183.4919016,172.8500213,192.8943481,195.0571899
129.2131098,138.3292703,177.8235294,88.89732361,32.45666504
40.29171688,84.96995939,71.8500213,41.50228882,59.69332886
-122.0914892,-214.8711799,-213.75,-61.47946167,-236.9975586
-128.7583576,-96.51117927,-100.655599,-119.0731659,1.355194092
36.16392668,135.8340695,193.8500213,8.429382324,-61.54833984
-15.53520198,22.30390715,6.850021304,-13.91201782,2.305450439
181.6871933,135.7640839,181.344401,153.9165344,118.3914032
75.70175562,16.23585968,-55.08823529,30.18466187,-45.10177612
-74.99404689,-60.80522624,-52.65559896,-54.38262939,4.612564087
99.67585083,73.32235913,124.344401,42.21408081,-11.24417114
149.5391643,153.5492663,118.0681818,57.79150391,170.9188843
-56.89359245,-41.23651437,-52.65559896,-20.9546051,17.90476227
-106.4812474,-136.9356059,-188.1499787,-81.10153198,-8.937683105
257.1965435,343.627754,511.8500213,204.9437256,121.423645
85.5623415,-12.99576041,-53.57142857,153.2982178,79.80493164
-88.39029655,-65.90250281,-30.65559896,-57.12739563,23.62727356
-88.39007691,-106.5534847,-126.655599,-49.20687866,5.873924255
32.03665216,281.0819024,352.8500213,37.91925049,-111.9938965
-131.9632477,-160.0779246,-185.8233438,-102.3566284,-15.52515411
117.9145572,74.92174503,10.4,45.2479248,26.77185059
-45.94939087,53.42664936,103.344401,-54.12957764,-652.5345459
-54.11439961,-78.36792364,-94.1499787,-42.80767822,11.05810547
60.04333865,271.9879109,298.8500213,20.46051025,44.00701904
15.74298285,-132.2934545,-270.625,-45.09118652,-437.1523438
34.23005803,19.5192982,42.34440104,45.20744324,19.93226624
-41.80834726,-59.10721774,-76.1499787,-36.98095703,8.74395752
309.0063622,318.5874241,312.8500213,305.2236328,139.8842773
-64.6786906,-116.9984522,-78.82334385,-37.85910034,4.551055908
-108.6357775,-71.45716462,-87.1499787,-70.3092041,2.227081299
-117.4284381,-71.11916961,-59.1499787,-87.12808228,-46.61105347
-123.8235046,-117.0281142,-114.1499787,-89.91363525,37.7988739
3.876365752,36.85466809,41.34440104,7.812484741,-0.180908203
112.883573,-3.166529006,-7.166666667,36.65325928,12.66958618
48.35196916,-58.64598659,-621.6,49.82855225,100.5344238
12.41440946,34.699099,68.34440104,19.89828491,62.83401489
287.5936201,650.476033,289.6,289.8841553,166.6727295
-143.1533448,-188.0484301,-201.1499787,-104.343811,-38.68534851
99.01409199,239.5747653,246.8500213,44.66809082,53.46478271
26.12495177,-5.771416386,-25.1499787,20.16601563,-17.62564087
-174.9117651,-154.5289976,-155.1499787,-74.49041748,-30.37258911
-62.71180647,-102.5148846,-160,-71.83337402,28.93896484
354.9190358,490.44139,64.66666667,194.0604248,56.59753418
124.9212603,158.5910221,-27.33333333,53.66882324,59.1920166
-180.4838098,-155.5739564,-1,22.75958252,-22.09313965
74.20733097,241.566117,234.8500213,19.63378906,-4.583129883
137.0063622,140.5029071,140.8500213,121.675415,77.53259277
-55.38374988,-34.22014141,-54.1499787,-4.104614258,10.99002075
69.16114925,-43.17359319,-95.625,22.84765625,10.43530273
-69.64350762,-43.52693276,-50.84937238,-50.41546631,34.11282349
117.5804295,31.249578,-16.75,71.38012695,33.34631348
-6.832664536,-12.74456939,-62.65559896,-8.444076538,2.353652954
-30.85248651,4.269891377,-5.149978696,-1.15625,-75.08334351
-105.6576306,-105.4195275,-133.655599,-59.23484802,-3.008255005
-257.917486,-149.5090077,-378.4,-98.68292236,-504.923584
-98.09442106,-49.01003063,-120.655599,-33.27758789,-1.799156189
-151.9477959,-240.6743795,-234.1499787,-112.7258606,-9.198638916
-44.75497006,-50.52690049,-55.1499787,-21.88772583,15.5536499
-79.25897004,-95.10721774,-112.1499787,-39.20944214,20.24887085
-84.76590554,-182.3160158,-230.1499787,-54.77651978,-2.369750977
29.37254709,24.99527179,38.34440104,30.03741455,-20.08171082
-67.25780584,-54.95315292,-46.1499787,-68.43634033,-46.02963257
-105.037584,-77.86559514,-94.1499787,-70.19549561,-15.54553223
-139.6573633,-94.84976728,-135.8493724,-95.63153076,78.81093597
-10.11290701,0.841446471,-1.823343849,-4.532867432,26.69857788
-32.35186393,-43.34456283,-43.65559896,-2.417236328,9.662475586
281.687644,440.0458459,875.8500213,167.3843994,460.0881958
-93.34779634,-72.73350112,-46.65559896,-83.64859009,-23.45336914
39.06940491,27.29943392,28.17665615,27.19741821,3.111755371
16.76326515,26.76196369,52.34440104,13.87788391,-34.45431519
95.85927064,-2.702790863,48.55555556,77.61987305,-41.69335938
-12.1028537,-14.15222613,-25.1499787,2.340484619,23.90087891
-70.3513378,-50.57818465,-76.65559896,-49.28126526,-9.544189453
115.184165,31.0182144,5.333333333,52.62597656,120.3670654
71.38799938,95.06741209,48.06818182,20.62695313,118.9381714
80.17287144,254.8461535,248.8500213,82.30407715,-9.743347168
56.69783295,77.94345169,43.25,51.97686768,-4.346008301
28.71683827,98.21358493,82.8500213,14.02954102,-10.62799072
228.6269229,118.1083792,78.5,135.6063843,183.0203247
-70.47288143,-51.91086615,-44.65559896,-49.29246521,10.05978394
-26.64350762,-6.238047078,-7.849372385,-28.61065674,-25.65359497
25.14521797,35.25149212,28.15062762,17.62585449,101.7012024
-11.68239153,29.5461529,-14.84937238,2.179473877,55.81460571
185.7975679,278.3037616,541.344401,167.749939,106.0620728
45.6804133,137.1458263,118.8500213,9.713806152,-16.90335083
-113.6153501,-92.00019445,-56.65559896,-82.77830505,1.083999634
-17.79662311,12.35525556,21.8500213,-6.128082275,23.25195313
5.374108981,0.914941582,-13.1499787,5.897827148,-36.20974731
-17.35723437,-55.85785443,-64.88888889,-3.623809814,-193.2146606
267.6675587,268.7819112,276.8500213,264.9494629,257.208374
-59.28879725,-108.7865716,-175.1499787,-39.99076843,37.78082275
126.2124122,49.46682273,33.625,33.07025146,9.269287109
-48.99404689,-29.3023878,-26.65559896,-42.84104919,20.82577515
8.015420017,3.477787622,8.850021304,-3.475494385,-44.7015686
83.55304718,80.3201711,142.3939394,45.41009521,-49.77963257
-23.46573611,-20.83776577,-35.1499787,-19.60031128,-32.4100647
316.6200299,289.2884965,338.344401,279.6362305,321.1323853
152.5611699,36.44729685,-2.8,86.56982422,27.48858643
-38.88387985,-15.65858547,-0.655598958,-39.07720947,15.92318726
88.31278653,62.99720918,-47.42857143,12.98120117,19.91851807
25.59468323,41.70795261,55.34440104,20.01890564,29.10501099
-93.16966302,-68.8639636,-91.65559896,-74.93136597,-0.522239685
-113.2559446,70.29426685,346.8500213,-24.37164307,12.58557129
-88.520683,-106.1153982,-69.65559896,-67.51898193,-12.33200073
45.43455818,44.91897582,147.344401,57.58108521,-10.08538818
12.02424219,16.13387839,10.8500213,25.96670532,-3.937561035
56.06450602,22.22858361,2.850021304,59.23675537,55.36038208
-14.40531677,-2.228541542,15.34440104,-16.25016785,14.88046265
41.30279121,26.67492943,-39.76470588,10.80010986,-40.43792725
78.08560353,74.67815383,85.34440104,75.32011414,-44.30203247
39.21199349,181.4606949,232.8500213,28.62219238,-24.10980225
-133.6207561,-120.7467096,-122.655599,-80.15397644,-2.390823364
75.70175562,9.02015974,-55.08823529,28.97210693,-22.77798462
-241.6124991,-258.9028809,-273.1499787,-179.0281067,-163.5831299
77.68271803,260.8121117,281.8500213,79.35644531,16.96008301
-77.67435205,-75.732203,-87.65559896,-45.66416931,-13.38679504
-98.59101391,-147.7771529,-143.1499787,-57.12411499,29.34242249
334.7783496,466.1039334,135.4,96.52709961,102.1619873
-58.83476067,-36.81796687,-18.65559896,-68.95503235,-37.84762573
-10.69190402,32.57633145,41.8500213,-40.74209595,32.48419189
112.9075147,60.75745194,102.1766562,103.1090698,16.44839478
60.11683379,42.90732365,49.8500213,58.47509766,10.87866211
-147.550717,-101.6078033,-110.1499787,-125.4892883,-37.65301514
302.302864,311.6816859,299.8500213,260.4892883,220.2754517
-163.3673818,-119.6592968,-177.655599,-153.9482574,-1.243114471
-152.0396089,-207.9243545,-220.1499787,-45.34121704,13.02967834
83.64094139,99.31518864,147.344401,50.16894531,6.739685059
-24.62589102,-29.06983834,-43.1499787,-31.54470825,-55.51818848
24.90890559,18.39713572,56.0862069,32.2905426,-60.97171021
-163.1661997,-173.1769141,-179.1499787,-95.00436401,-47.33364868
-108.0802071,-106.9180878,-122.8493724,-93.49966431,-11.15815735
152.5590487,64.61174526,1.222222222,41.65942383,-2.097290039
