gbr,rfr,dtr,xgbr,nn
-25.34332003,-629.5723839,-190.9701493,-145.0330505,-16.43768311
-160.0342866,-440.1109588,-401.091858,-199.2637939,43.77142334
257.7997928,356.9318916,596.8515869,212.8200684,27.08618164
-96.28331902,-190.5667204,-386.1484131,-179.0100708,-42.96807861
-344.7411351,-530.7901707,-658.1484131,-385.3690186,-93.48776245
-220.0936368,-147.7576069,-240.9701493,-190.0418701,-92.66049194
140.8728821,72.17223248,81.02985075,148.0508423,-23.09875488
-104.9406361,-49.69329291,-76.75193798,-118.772171,-1.339195251
110.8619435,192.5698238,-93.33333333,99.1517334,21.77587891
-122.5640564,-339.7422353,-493.1484131,-171.0778198,-7.278930664
186.9920492,101.1060973,-27.3,146.5836182,19.21704102
-89.83889144,-22.43821735,-190.9701493,-88.32125854,10.17764282
-173.4679771,-79.80186007,-194.091858,-190.8365479,-27.16931152
-27.9997672,3.703829682,-52.14841305,-54.99957275,90.26599121
70.76642337,420.0100005,-44.41666667,111.5311279,-0.436035156
185.8283037,247.810187,330.8515869,67.3293457,11.09814453
70.84265257,48.58405214,73.02985075,95.42767334,-23.01708984
199.9472967,223.0776857,311.8515869,197.4337158,111.2254639
-82.72544073,-165.2675483,-343.1484131,-95.98577881,-11.66125488
-29.61146409,-68.36676176,70.02985075,-27.73760986,-12.14056396
-85.28446344,-70.37756033,-245.1484131,-99.38433838,-56.8067627
167.3480046,73.64216844,-20.14841305,75.83618164,266.8496094
-83.09483153,-46.1801594,-133.9701493,-95.40991211,32.86004639
268.196027,694.5722065,1593.851587,389.7814941,352.5751953
-39.74047545,-100.9662386,-132.9701493,-33.43411255,-157.5353394
158.4163881,52.02850963,203.0298507,201.90271,133.4974365
76.88137511,86.16294921,-89.14841305,69.51165771,1.824645996
144.7061031,123.6290747,234.8515869,120.4337158,-3.969116211
339.8502142,222.569768,563.0298507,257.4622192,75.21887207
129.6822289,171.1961539,166.0298507,113.7092285,-16.53820801
-21.09738876,-55.87815061,-128.0512821,-31.93630981,-97.1887207
97.92040962,216.9445617,509.908142,98.07385254,-49.13500977
-141.2869422,-313.1738052,-327.9701493,-153.9981384,-10.69145203
