,Location,Year,total_cases,smearpositivecases
0,ANDHRAPRADESH_ANANTAPUR,2019,5467,2453
1,ANDHRAPRADESH_ANANTAPUR,2020,5486,2460
2,ANDHRAPRADESH_ANANTAPUR,2021,5513,2467
3,ANDHRAPRADESH_ANANTAPUR,2022,5539,2474
4,ANDHRAPRADESH_ANANTAPUR,2023,5568,2481
5,ANDHRAPRADESH_ANANTAPUR,2024,5588,2488
6,ANDHRAPRADESH_ANANTAPUR,2025,5621,2496
7,ANDHRAPRADESH_CHITTOOR,2019,4896,2259
8,ANDHRAPRADESH_CHITTOOR,2020,4907,2261
9,ANDHRAPRADESH_CHITTOOR,2021,4911,2261
10,ANDHRAPRADESH_CHITTOOR,2022,4928,2264
11,ANDHRAPRADESH_CHITTOOR,2023,4943,2267
12,ANDHRAPRADESH_CHITTOOR,2024,4958,2270
13,ANDHRAPRADESH_CHITTOOR,2025,4973,2273
14,ANDHRAPRADESH_EASTGODAVARI,2019,12263,5971
15,ANDHRAPRADESH_EASTGODAVARI,2020,12289,5972
16,ANDHRAPRADESH_EASTGODAVARI,2021,12295,5975
17,ANDHRAPRADESH_EASTGODAVARI,2022,12311,5978
18,ANDHRAPRADESH_EASTGODAVARI,2023,12320,5980
19,ANDHRAPRADESH_EASTGODAVARI,2024,12333,5982
20,ANDHRAPRADESH_EASTGODAVARI,2025,12346,5985
21,ANDHRAPRADESH_GUNTUR,2019,7251,3255
22,ANDHRAPRADESH_GUNTUR,2020,7221,3257
23,ANDHRAPRADESH_GUNTUR,2021,7207,3256
24,ANDHRAPRADESH_GUNTUR,2022,7229,3260
25,ANDHRAPRADESH_GUNTUR,2023,7213,3261
26,ANDHRAPRADESH_GUNTUR,2024,7203,3261
27,ANDHRAPRADESH_GUNTUR,2025,7211,3264
28,ANDHRAPRADESH_KRISHNA,2019,5571,2523
29,ANDHRAPRADESH_KRISHNA,2020,5582,2528
30,ANDHRAPRADESH_KRISHNA,2021,5578,2533
31,ANDHRAPRADESH_KRISHNA,2022,5593,2540
32,ANDHRAPRADESH_KRISHNA,2023,5594,2545
33,ANDHRAPRADESH_KRISHNA,2024,5598,2551
34,ANDHRAPRADESH_KRISHNA,2025,5604,2557
35,ANDHRAPRADESH_KURNOOL,2019,5975,2256
36,ANDHRAPRADESH_KURNOOL,2020,5977,2257
37,ANDHRAPRADESH_KURNOOL,2021,5981,2261
38,ANDHRAPRADESH_KURNOOL,2022,6005,2268
39,ANDHRAPRADESH_KURNOOL,2023,6014,2272
40,ANDHRAPRADESH_KURNOOL,2024,6027,2276
41,ANDHRAPRADESH_KURNOOL,2025,6046,2282
42,ANDHRAPRADESH_PRAKASAM,2019,4257,1800
43,ANDHRAPRADESH_PRAKASAM,2020,4287,1806
44,ANDHRAPRADESH_PRAKASAM,2021,4278,1806
45,ANDHRAPRADESH_PRAKASAM,2022,4292,1810
46,ANDHRAPRADESH_PRAKASAM,2023,4306,1814
47,ANDHRAPRADESH_PRAKASAM,2024,4310,1816
48,ANDHRAPRADESH_PRAKASAM,2025,4322,1820
49,ANDHRAPRADESH_SRIKAKULAM,2019,3385,1567
50,ANDHRAPRADESH_SRIKAKULAM,2020,3349,1573
51,ANDHRAPRADESH_SRIKAKULAM,2021,3381,1576
52,ANDHRAPRADESH_SRIKAKULAM,2022,3382,1581
53,ANDHRAPRADESH_SRIKAKULAM,2023,3403,1585
54,ANDHRAPRADESH_SRIKAKULAM,2024,3413,1589
55,ANDHRAPRADESH_SRIKAKULAM,2025,3430,1594
56,ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2019,3587,1632
57,ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2020,3572,1635
58,ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2021,3616,1639
59,ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2022,3636,1641
60,ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2023,3660,1644
61,ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2024,3688,1648
62,ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2025,3712,1651
63,ANDHRAPRADESH_VISAKHAPATNAM,2019,5529,2700
64,ANDHRAPRADESH_VISAKHAPATNAM,2020,5541,2701
65,ANDHRAPRADESH_VISAKHAPATNAM,2021,5533,2706
66,ANDHRAPRADESH_VISAKHAPATNAM,2022,5520,2708
67,ANDHRAPRADESH_VISAKHAPATNAM,2023,5484,2710
68,ANDHRAPRADESH_VISAKHAPATNAM,2024,5460,2711
