Location,Year,total_cases,newsmearpositivecases
ANDHRAPRADESH_ANANTAPUR,2019,5260.7314,2438.644
ANDHRAPRADESH_ANANTAPUR,2020,5223.5566,2429.8025
ANDHRAPRADESH_ANANTAPUR,2021,5232.6597,2425.2412
ANDHRAPRADESH_ANANTAPUR,2022,5194.3457,2420.373
ANDHRAPRADESH_ANANTAPUR,2023,5268.6743,2435.5269
ANDHRAPRADESH_ANANTAPUR,2024,5249.88,2432.6387
ANDHRAPRADESH_ANANTAPUR,2025,5249.9067,2431.616
ANDHRAPRADESH_CHITTOOR,2019,4834.963,2296.269
ANDHRAPRADESH_CHITTOOR,2020,4816.9253,2294.8066
ANDHRAPRADESH_CHITTOOR,2021,4977.3877,2340.7336
ANDHRAPRADESH_CHITTOOR,2022,5061.0205,2386.539
ANDHRAPRADESH_CHITTOOR,2023,5161.6084,2414.0845
ANDHRAPRADESH_CHITTOOR,2024,5112.5415,2394.5989
ANDHRAPRADESH_CHITTOOR,2025,5160.431,2393.1606
ANDHRAPRADESH_EASTGODAVARI,2019,12061.519,6066.9956
ANDHRAPRADESH_EASTGODAVARI,2020,12055.191,6066.9844
ANDHRAPRADESH_EASTGODAVARI,2021,12061.129,6070.4414
ANDHRAPRADESH_EASTGODAVARI,2022,12069.335,6077.812
ANDHRAPRADESH_EASTGODAVARI,2023,12076.257,6080.1304
ANDHRAPRADESH_EASTGODAVARI,2024,12078.062,6085.8066
ANDHRAPRADESH_EASTGODAVARI,2025,12088.512,6090.6733
ANDHRAPRADESH_GUNTUR,2019,6926.007,3225.6533
ANDHRAPRADESH_GUNTUR,2020,6987.417,3253.1975
ANDHRAPRADESH_GUNTUR,2021,6976.509,3245.0256
ANDHRAPRADESH_GUNTUR,2022,6984.7686,3247.9595
ANDHRAPRADESH_GUNTUR,2023,6946.8164,3227.2188
ANDHRAPRADESH_GUNTUR,2024,6994.4644,3248.8774
ANDHRAPRADESH_GUNTUR,2025,6983.032,3241.9348
ANDHRAPRADESH_KRISHNA,2019,5304.004,2486.5352
ANDHRAPRADESH_KRISHNA,2020,5337.8174,2494.231
ANDHRAPRADESH_KRISHNA,2021,5329.9453,2493.3926
ANDHRAPRADESH_KRISHNA,2022,5361.252,2502.0232
ANDHRAPRADESH_KRISHNA,2023,5363.483,2503.1929
ANDHRAPRADESH_KRISHNA,2024,5380.7046,2506.962
ANDHRAPRADESH_KRISHNA,2025,5403.5273,2513.59
ANDHRAPRADESH_KURNOOL,2019,5969.792,2186.898
ANDHRAPRADESH_KURNOOL,2020,5957.0596,2191.7007
ANDHRAPRADESH_KURNOOL,2021,5970.15,2188.3853
ANDHRAPRADESH_KURNOOL,2022,5960.4043,2184.1418
ANDHRAPRADESH_KURNOOL,2023,5959.2407,2183.517
ANDHRAPRADESH_KURNOOL,2024,5942.175,2180.5632
ANDHRAPRADESH_KURNOOL,2025,5952.475,2181.2932
ANDHRAPRADESH_PRAKASAM,2019,4204.969,1864.195
ANDHRAPRADESH_PRAKASAM,2020,4197.8633,1867.8572
ANDHRAPRADESH_PRAKASAM,2021,4191.1353,1870.2031
ANDHRAPRADESH_PRAKASAM,2022,4169.5513,1868.9053
ANDHRAPRADESH_PRAKASAM,2023,4192.9233,1876.9121
ANDHRAPRADESH_PRAKASAM,2024,4161.6777,1874.6882
ANDHRAPRADESH_PRAKASAM,2025,4169.5063,1878.0999
ANDHRAPRADESH_SRIKAKULAM,2019,3472.8643,1684.0594
ANDHRAPRADESH_SRIKAKULAM,2020,3466.0337,1688.2616
ANDHRAPRADESH_SRIKAKULAM,2021,3473.8062,1698.0459
ANDHRAPRADESH_SRIKAKULAM,2022,3474.0005,1701.7166
ANDHRAPRADESH_SRIKAKULAM,2023,3475.0508,1710.1467
ANDHRAPRADESH_SRIKAKULAM,2024,3477.7383,1714.2625
ANDHRAPRADESH_SRIKAKULAM,2025,3479.0325,1722.857
ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2019,3463.3628,1641.2717
ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2020,3440.801,1645.7092
ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2021,3515.983,1655.2311
ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2022,3502.1465,1655.7212
ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2023,3538.454,1658.0656
ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2024,3524.1384,1660.5825
ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,2025,3571.1392,1665.966
ANDHRAPRADESH_VISAKHAPATNAM,2019,5629.3174,2780.1301
ANDHRAPRADESH_VISAKHAPATNAM,2020,5613.3965,2788.167
ANDHRAPRADESH_VISAKHAPATNAM,2021,5599.0693,2798.388
ANDHRAPRADESH_VISAKHAPATNAM,2022,5584.052,2808.28
ANDHRAPRADESH_VISAKHAPATNAM,2023,5560.449,2814.683
ANDHRAPRADESH_VISAKHAPATNAM,2024,5532.5806,2821.3462
ANDHRAPRADESH_VISAKHAPATNAM,2025,5522.981,2829.7305
ANDHRAPRADESH_VIZIANAGARAM,2019,3923.7468,1669.8708
ANDHRAPRADESH_VIZIANAGARAM,2020,3911.4314,1674.1517
ANDHRAPRADESH_VIZIANAGARAM,2021,3906.8167,1678.2273
ANDHRAPRADESH_VIZIANAGARAM,2022,3894.786,1682.8009
ANDHRAPRADESH_VIZIANAGARAM,2023,3892.6675,1688.3484
ANDHRAPRADESH_VIZIANAGARAM,2024,3876.129,1691.1401
ANDHRAPRADESH_VIZIANAGARAM,2025,3878.4353,1698.0695
ARUNACHALPRADESH_PAPUMPARE,2019,926.5241,205.39227
ARUNACHALPRADESH_PAPUMPARE,2020,955.7647,208.30263
ARUNACHALPRADESH_PAPUMPARE,2021,922.8777,193.51437
ARUNACHALPRADESH_PAPUMPARE,2022,937.49023,201.01402
ARUNACHALPRADESH_PAPUMPARE,2023,913.65155,186.5797
ARUNACHALPRADESH_PAPUMPARE,2024,943.2479,200.43701
ARUNACHALPRADESH_PAPUMPARE,2025,934.3084,193.89413
ASSAM_BONGAIGAON,2019,967.8622,482.16846
ASSAM_BONGAIGAON,2020,952.165,468.11954
ASSAM_BONGAIGAON,2021,936.05634,470.34045
ASSAM_BONGAIGAON,2022,915.2757,460.51096
ASSAM_BONGAIGAON,2023,912.48706,466.01855
ASSAM_BONGAIGAON,2024,898.8934,458.03088
ASSAM_BONGAIGAON,2025,888.14545,461.4865
ASSAM_CACHAR,2019,2292.354,835.8684
ASSAM_CACHAR,2020,2215.9097,805.1231
ASSAM_CACHAR,2021,2212.2688,783.443
ASSAM_CACHAR,2022,2193.6394,772.96063
ASSAM_CACHAR,2023,2189.5657,767.31274
ASSAM_CACHAR,2024,2160.0356,759.5299
ASSAM_CACHAR,2025,2156.2603,754.8899
ASSAM_DARRANG,2019,875.98206,368.241
ASSAM_DARRANG,2020,835.8779,350.80927
ASSAM_DARRANG,2021,817.07983,345.36902
ASSAM_DARRANG,2022,799.62384,338.73828
ASSAM_DARRANG,2023,828.49646,350.19092
ASSAM_DARRANG,2024,817.1565,348.49335
ASSAM_DARRANG,2025,830.884,353.08832
ASSAM_DHEMAJI,2019,756.1205,374.1924
ASSAM_DHEMAJI,2020,748.32715,360.94244
ASSAM_DHEMAJI,2021,735.18585,358.0526
ASSAM_DHEMAJI,2022,733.04767,359.88776
ASSAM_DHEMAJI,2023,736.5309,359.84113
ASSAM_DHEMAJI,2024,737.3488,353.14337
ASSAM_DHEMAJI,2025,727.6647,348.91873
ASSAM_DIBRUGARH,2019,2528.7363,1034.0957
ASSAM_DIBRUGARH,2020,2540.8835,1050.2418
ASSAM_DIBRUGARH,2021,2510.7056,1033.0784
ASSAM_DIBRUGARH,2022,2507.7556,1032.1433
ASSAM_DIBRUGARH,2023,2490.4878,1025.7843
ASSAM_DIBRUGARH,2024,2482.3062,1020.4913
ASSAM_DIBRUGARH,2025,2468.5159,1016.14307
ASSAM_GOLAGHAT,2019,1591.6914,579.49414
ASSAM_GOLAGHAT,2020,1612.9242,631.4262
ASSAM_GOLAGHAT,2021,1563.5433,626.9595
ASSAM_GOLAGHAT,2022,1609.186,622.8682
ASSAM_GOLAGHAT,2023,1565.5347,613.20197
ASSAM_GOLAGHAT,2024,1613.5515,634.51697
ASSAM_GOLAGHAT,2025,1558.057,626.94635
ASSAM_HAILAKANDI,2019,713.46045,412.82574
ASSAM_HAILAKANDI,2020,691.5075,394.11652
ASSAM_HAILAKANDI,2021,709.02045,393.85907
ASSAM_HAILAKANDI,2022,696.5906,388.80334
ASSAM_HAILAKANDI,2023,701.73035,390.4673
ASSAM_HAILAKANDI,2024,691.1078,387.6068
ASSAM_HAILAKANDI,2025,677.94165,383.58582
ASSAM_JORHAT,2019,1313.7705,413.2704
ASSAM_JORHAT,2020,1336.9974,418.18976
ASSAM_JORHAT,2021,1299.4048,412.02457
ASSAM_JORHAT,2022,1342.4899,417.33374
ASSAM_JORHAT,2023,1296.6459,409.8885
ASSAM_JORHAT,2024,1343.1765,416.20792
ASSAM_JORHAT,2025,1298.2993,408.42538
ASSAM_KAMRUP,2019,2837.5122,1164.0386
ASSAM_KAMRUP,2020,2841.7615,1165.2
ASSAM_KAMRUP,2021,2853.808,1168.06
ASSAM_KAMRUP,2022,2842.5964,1166.5602
ASSAM_KAMRUP,2023,2863.6514,1169.9116
ASSAM_KAMRUP,2024,2848.4028,1168.7173
ASSAM_KAMRUP,2025,2869.689,1171.5742
ASSAM_KARIMGANJ,2019,736.8047,314.53485
ASSAM_KARIMGANJ,2020,746.0868,318.46918
ASSAM_KARIMGANJ,2021,722.29724,308.3971
ASSAM_KARIMGANJ,2022,737.1809,313.24548
ASSAM_KARIMGANJ,2023,731.51135,307.40237
ASSAM_KARIMGANJ,2024,765.5424,313.04895
ASSAM_KARIMGANJ,2025,763.07715,307.9813
ASSAM_LAKHIMPUR,2019,1027.5371,499.35242
ASSAM_LAKHIMPUR,2020,1027.6099,484.2819
ASSAM_LAKHIMPUR,2021,995.36896,480.59705
ASSAM_LAKHIMPUR,2022,1017.0863,475.27997
ASSAM_LAKHIMPUR,2023,981.7413,465.90466
ASSAM_LAKHIMPUR,2024,1013.3073,463.93054
ASSAM_LAKHIMPUR,2025,975.32886,452.91617
ASSAM_NAGAON,2019,2576.2192,1034.5941
ASSAM_NAGAON,2020,2599.9097,1068.1931
ASSAM_NAGAON,2021,2589.9512,1029.9478
ASSAM_NAGAON,2022,2624.4844,1056.3206
ASSAM_NAGAON,2023,2601.6494,1026.3868
ASSAM_NAGAON,2024,2644.0928,1044.2859
ASSAM_NAGAON,2025,2621.249,1023.4248
ASSAM_NALBARI,2019,762.64655,388.99207
ASSAM_NALBARI,2020,810.1832,400.52353
ASSAM_NALBARI,2021,780.0634,397.17548
ASSAM_NALBARI,2022,762.3601,393.94647
ASSAM_NALBARI,2023,780.9001,408.72864
ASSAM_NALBARI,2024,743.4125,395.9793
ASSAM_NALBARI,2025,759.83344,412.08386
ASSAM_SIVASAGAR,2019,1554.6948,627.26196
ASSAM_SIVASAGAR,2020,1539.3116,620.0325
ASSAM_SIVASAGAR,2021,1490.2148,592.53986
ASSAM_SIVASAGAR,2022,1532.115,602.8556
ASSAM_SIVASAGAR,2023,1468.8752,587.19354
ASSAM_SIVASAGAR,2024,1513.2952,589.5236
ASSAM_SIVASAGAR,2025,1456.2502,577.3604
ASSAM_SONITPUR,2019,3044.6685,1558.2761
ASSAM_SONITPUR,2020,3033.6504,1555.3569
ASSAM_SONITPUR,2021,3041.963,1552.0232
ASSAM_SONITPUR,2022,3025.1367,1547.7644
ASSAM_SONITPUR,2023,3028.776,1542.7126
ASSAM_SONITPUR,2024,3017.3857,1540.8695
ASSAM_SONITPUR,2025,3017.1821,1534.771
ASSAM_TINSUKIA,2019,2568.7964,1116.4858
ASSAM_TINSUKIA,2020,2600.422,1141.3875
ASSAM_TINSUKIA,2021,2528.994,1119.116
ASSAM_TINSUKIA,2022,2526.884,1120.0979
ASSAM_TINSUKIA,2023,2464.9673,1105.0249
ASSAM_TINSUKIA,2024,2463.5637,1101.5021
ASSAM_TINSUKIA,2025,2412.574,1090.1393
BIHAR_PATNA,2019,5316.7373,1720.8494
BIHAR_PATNA,2020,5324.559,1721.7805
BIHAR_PATNA,2021,5337.1973,1736.5022
BIHAR_PATNA,2022,5325.3994,1733.2832
BIHAR_PATNA,2023,5315.3906,1732.383
BIHAR_PATNA,2024,5319.579,1739.09
BIHAR_PATNA,2025,5317.0396,1741.0903
BIHAR_SAMASTIPUR,2019,2666.5942,1332.901
BIHAR_SAMASTIPUR,2020,2685.5771,1331.9033
BIHAR_SAMASTIPUR,2021,2680.1526,1333.2161
BIHAR_SAMASTIPUR,2022,2680.7725,1331.6157
BIHAR_SAMASTIPUR,2023,2680.851,1332.347
BIHAR_SAMASTIPUR,2024,2680.319,1332.1301
BIHAR_SAMASTIPUR,2025,2681.6252,1331.5962
CHANDIGARH_CHANDIGARH,2019,2646.214,917.728
CHANDIGARH_CHANDIGARH,2020,2617.4314,912.267
CHANDIGARH_CHANDIGARH,2021,2585.1797,900.1438
CHANDIGARH_CHANDIGARH,2022,2579.9958,891.03455
CHANDIGARH_CHANDIGARH,2023,2566.085,884.1827
CHANDIGARH_CHANDIGARH,2024,2543.7253,873.9772
CHANDIGARH_CHANDIGARH,2025,2521.8713,863.3017
CHHATTISGARH_BILASPUR,2019,2536.415,1085.0433
CHHATTISGARH_BILASPUR,2020,2546.747,1091.9567
CHHATTISGARH_BILASPUR,2021,2570.64,1101.6704
CHHATTISGARH_BILASPUR,2022,2596.5474,1108.2368
CHHATTISGARH_BILASPUR,2023,2610.04,1114.3229
CHHATTISGARH_BILASPUR,2024,2629.699,1121.1613
CHHATTISGARH_BILASPUR,2025,2650.9517,1129.2241
CHHATTISGARH_DURG,2019,3626.0793,1155.383
CHHATTISGARH_DURG,2020,3592.5862,1141.5764
CHHATTISGARH_DURG,2021,3651.29,1166.8286
CHHATTISGARH_DURG,2022,3672.0435,1167.6008
CHHATTISGARH_DURG,2023,3715.3315,1183.0659
CHHATTISGARH_DURG,2024,3739.884,1186.6553
CHHATTISGARH_DURG,2025,3769.8433,1199.3297
CHHATTISGARH_KORBA,2019,1542.2516,644.4037
CHHATTISGARH_KORBA,2020,1445.5266,605.3627
CHHATTISGARH_KORBA,2021,1427.676,598.4569
CHHATTISGARH_KORBA,2022,1368.3595,576.0571
CHHATTISGARH_KORBA,2023,1512.7958,636.7572
CHHATTISGARH_KORBA,2024,1547.6687,647.6101
CHHATTISGARH_KORBA,2025,1568.3679,654.0879
CHHATTISGARH_RAIPUR,2019,4042.0127,1577.4498
CHHATTISGARH_RAIPUR,2020,3957.3271,1464.2152
CHHATTISGARH_RAIPUR,2021,3940.9236,1543.4014
CHHATTISGARH_RAIPUR,2022,3998.0903,1475.4243
CHHATTISGARH_RAIPUR,2023,3997.6807,1545.9823
CHHATTISGARH_RAIPUR,2024,3991.0996,1485.8256
CHHATTISGARH_RAIPUR,2025,3993.9329,1555.7487
GOA_NORTHGOA,2019,1239.5808,448.11908
GOA_NORTHGOA,2020,1242.3057,449.20972
GOA_NORTHGOA,2021,1280.0474,460.57755
GOA_NORTHGOA,2022,1290.7772,463.4004
GOA_NORTHGOA,2023,1313.7742,474.81912
GOA_NORTHGOA,2024,1334.8972,480.7968
GOA_NORTHGOA,2025,1359.9896,490.19116
GOA_SOUTHGOA,2019,813.7422,292.75012
GOA_SOUTHGOA,2020,903.5979,306.7871
GOA_SOUTHGOA,2021,969.432,309.824
GOA_SOUTHGOA,2022,930.2439,305.61526
GOA_SOUTHGOA,2023,928.71094,311.26254
GOA_SOUTHGOA,2024,832.1846,296.47314
GOA_SOUTHGOA,2025,822.4221,303.47284
GUJARAT_BHARUCH,2019,2403.2031,1305.1221
GUJARAT_BHARUCH,2020,2367.1436,1303.1399
GUJARAT_BHARUCH,2021,2352.1377,1291.5187
GUJARAT_BHARUCH,2022,2316.924,1269.4618
GUJARAT_BHARUCH,2023,2393.397,1285.4271
GUJARAT_BHARUCH,2024,2451.6028,1308.8297
GUJARAT_BHARUCH,2025,2522.604,1329.3413
GUJARAT_GANDHINAGAR,2019,2493.8838,865.4627
GUJARAT_GANDHINAGAR,2020,2521.2158,871.93823
GUJARAT_GANDHINAGAR,2021,2527.9014,869.53503
GUJARAT_GANDHINAGAR,2022,2494.2754,864.46136
GUJARAT_GANDHINAGAR,2023,2481.8926,863.57245
GUJARAT_GANDHINAGAR,2024,2492.5615,863.49396
GUJARAT_GANDHINAGAR,2025,2479.5962,860.29456
GUJARAT_JAMNAGAR,2019,2275.55,1030.5936
GUJARAT_JAMNAGAR,2020,2321.9092,1059.2996
GUJARAT_JAMNAGAR,2021,2366.2815,1068.7423
GUJARAT_JAMNAGAR,2022,2379.5076,1069.948
GUJARAT_JAMNAGAR,2023,2404.753,1078.6587
GUJARAT_JAMNAGAR,2024,2450.0352,1092.7179
GUJARAT_JAMNAGAR,2025,2482.4844,1101.7882
GUJARAT_RAJKOT,2019,3823.1003,1909.6931
GUJARAT_RAJKOT,2020,3952.1387,1968.2642
GUJARAT_RAJKOT,2021,3921.1624,1946.298
GUJARAT_RAJKOT,2022,3988.4287,1977.3774
GUJARAT_RAJKOT,2023,4011.903,1987.7125
GUJARAT_RAJKOT,2024,4054.387,2004.1438
GUJARAT_RAJKOT,2025,4083.8718,2011.789
GUJARAT_SURAT,2019,9173.945,3860.8389
GUJARAT_SURAT,2020,9221.507,3881.4124
GUJARAT_SURAT,2021,9188.366,3861.9807
GUJARAT_SURAT,2022,9220.908,3873.7388
GUJARAT_SURAT,2023,9203.697,3862.4602
GUJARAT_SURAT,2024,9225.061,3869.3125
GUJARAT_SURAT,2025,9213.6,3860.6494
GUJARAT_VADODARA,2019,4145.259,1902.6866
GUJARAT_VADODARA,2020,4149.6836,1918.7485
GUJARAT_VADODARA,2021,4216.184,1932.9866
GUJARAT_VADODARA,2022,4222.2603,1934.0541
GUJARAT_VADODARA,2023,4248.0645,1947.8816
GUJARAT_VADODARA,2024,4280.2373,1958.0149
GUJARAT_VADODARA,2025,4317.437,1965.0846
GUJARAT_VALSAD,2019,1863.6017,1019.101
GUJARAT_VALSAD,2020,1897.4514,1041.3317
GUJARAT_VALSAD,2021,1926.7732,1052.0128
GUJARAT_VALSAD,2022,1967.2888,1071.0774
GUJARAT_VALSAD,2023,2001.7556,1088.2362
GUJARAT_VALSAD,2024,2041.4865,1108.6108
GUJARAT_VALSAD,2025,2071.1838,1128.1962
HARYANA_BHIWANI,2019,2371.4492,981.8898
HARYANA_BHIWANI,2020,2395.3306,985.70593
HARYANA_BHIWANI,2021,2534.1606,1000.12006
HARYANA_BHIWANI,2022,2555.1316,990.2873
HARYANA_BHIWANI,2023,2561.6064,1002.2175
HARYANA_BHIWANI,2024,2649.5806,1005.3412
HARYANA_BHIWANI,2025,2590.975,995.78357
HARYANA_FARIDABAD,2019,3785.073,914.2037
HARYANA_FARIDABAD,2020,3793.359,907.55945
HARYANA_FARIDABAD,2021,3841.9927,936.6086
HARYANA_FARIDABAD,2022,3856.546,941.33093
HARYANA_FARIDABAD,2023,3917.4531,974.6142
HARYANA_FARIDABAD,2024,3945.9907,985.47235
HARYANA_FARIDABAD,2025,3978.993,1017.4221
HARYANA_PANCHKULA,2019,1537.4235,417.52368
HARYANA_PANCHKULA,2020,1576.8226,427.22675
HARYANA_PANCHKULA,2021,1548.2788,421.61066
HARYANA_PANCHKULA,2022,1547.8506,428.15814
HARYANA_PANCHKULA,2023,1555.5637,426.2788
HARYANA_PANCHKULA,2024,1527.8224,427.94238
HARYANA_PANCHKULA,2025,1542.6035,431.81586
HARYANA_YAMUNANAGAR,2019,1335.8362,602.7158
HARYANA_YAMUNANAGAR,2020,1320.7783,627.072
HARYANA_YAMUNANAGAR,2021,1289.6532,622.5162
HARYANA_YAMUNANAGAR,2022,1315.9803,647.2881
HARYANA_YAMUNANAGAR,2023,1327.9911,619.6771
HARYANA_YAMUNANAGAR,2024,1318.0796,613.99896
HARYANA_YAMUNANAGAR,2025,1346.1661,612.5646
HIMACHALPRADESH_KANGRA,2019,2609.684,990.111
HIMACHALPRADESH_KANGRA,2020,2593.9448,997.6154
HIMACHALPRADESH_KANGRA,2021,2581.9553,1000.67413
HIMACHALPRADESH_KANGRA,2022,2584.5469,999.3877
HIMACHALPRADESH_KANGRA,2023,2584.3489,995.81165
HIMACHALPRADESH_KANGRA,2024,2595.3638,999.41626
HIMACHALPRADESH_KANGRA,2025,2595.831,997.4813
HIMACHALPRADESH_KULLU,2019,1240.4448,390.59628
HIMACHALPRADESH_KULLU,2020,1240.0322,384.0163
HIMACHALPRADESH_KULLU,2021,1264.4224,395.33807
HIMACHALPRADESH_KULLU,2022,1210.4839,381.76154
HIMACHALPRADESH_KULLU,2023,1201.0859,388.3127
HIMACHALPRADESH_KULLU,2024,1222.9125,381.16357
HIMACHALPRADESH_KULLU,2025,1233.3037,393.41937
HIMACHALPRADESH_MANDI,2019,2151.3135,793.3773
HIMACHALPRADESH_MANDI,2020,2093.6553,779.1816
HIMACHALPRADESH_MANDI,2021,2048.708,773.8965
HIMACHALPRADESH_MANDI,2022,2009.0171,767.05566
HIMACHALPRADESH_MANDI,2023,1998.3235,751.34174
HIMACHALPRADESH_MANDI,2024,2026.1803,745.1798
HIMACHALPRADESH_MANDI,2025,2079.0334,739.88586
HIMACHALPRADESH_SHIMLA,2019,1553.5596,604.01587
HIMACHALPRADESH_SHIMLA,2020,1603.3784,607.5033
HIMACHALPRADESH_SHIMLA,2021,1613.9965,604.5759
HIMACHALPRADESH_SHIMLA,2022,1691.9939,606.60614
HIMACHALPRADESH_SHIMLA,2023,1737.0563,607.802
HIMACHALPRADESH_SHIMLA,2024,1786.0085,608.4137
HIMACHALPRADESH_SHIMLA,2025,1844.8678,617.91077
HIMACHALPRADESH_SIRMAUR,2019,752.80273,338.33832
HIMACHALPRADESH_SIRMAUR,2020,800.22,338.74615
HIMACHALPRADESH_SIRMAUR,2021,820.597,347.6386
HIMACHALPRADESH_SIRMAUR,2022,902.5221,366.9306
HIMACHALPRADESH_SIRMAUR,2023,967.0992,381.00613
HIMACHALPRADESH_SIRMAUR,2024,1029.1061,404.09747
HIMACHALPRADESH_SIRMAUR,2025,1142.1964,423.70227
HIMACHALPRADESH_SOLAN,2019,1204.9885,450.84354
HIMACHALPRADESH_SOLAN,2020,1194.1628,443.28796
HIMACHALPRADESH_SOLAN,2021,1160.9374,450.3531
HIMACHALPRADESH_SOLAN,2022,1151.3185,453.33347
HIMACHALPRADESH_SOLAN,2023,1127.2448,453.3662
HIMACHALPRADESH_SOLAN,2024,1104.6488,455.01398
HIMACHALPRADESH_SOLAN,2025,1089.2709,458.495
HIMACHALPRADESH_UNA,2019,883.52515,401.86163
HIMACHALPRADESH_UNA,2020,957.3545,435.7619
HIMACHALPRADESH_UNA,2021,1035.2361,477.0694
HIMACHALPRADESH_UNA,2022,1160.692,535.0645
HIMACHALPRADESH_UNA,2023,1297.5045,591.5781
HIMACHALPRADESH_UNA,2024,1454.0712,653.582
