Location,Year,total_cases,smear
ANDHRAPRADESH_ANANTAPUR,2001,3421,1552
ANDHRAPRADESH_ANANTAPUR,2002,5585,2399
ANDHRAPRADESH_ANANTAPUR,2003,5910,2811
ANDHRAPRADESH_ANANTAPUR,2004,5281,2388
ANDHRAPRADESH_ANANTAPUR,2005,5527,2359
ANDHRAPRADESH_ANANTAPUR,2006,5777,2543
ANDHRAPRADESH_ANANTAPUR,2007,6100,2684
ANDHRAPRADESH_ANANTAPUR,2008,5954,2777
ANDHRAPRADESH_ANANTAPUR,2009,5673,2634
ANDHRAPRADESH_ANANTAPUR,2010,5586,2600
ANDHRAPRADESH_ANANTAPUR,2011,5345,2457
ANDHRAPRADESH_ANANTAPUR,2012,4744,2214
ANDHRAPRADESH_ANANTAPUR,2013,4794,2256
ANDHRAPRADESH_ANANTAPUR,2014,5266,2448
ANDHRAPRADESH_ANANTAPUR,2015,5038,2269
ANDHRAPRADESH_ANANTAPUR,2016,5068,2531
ANDHRAPRADESH_ANANTAPUR,2017,5122,2446
ANDHRAPRADESH_ANANTAPUR,2018,5090,2761
ANDHRAPRADESH_ANANTAPUR,2019,5467,2453
ANDHRAPRADESH_ANANTAPUR,2020,5486,2460
ANDHRAPRADESH_ANANTAPUR,2021,5513,2467
ANDHRAPRADESH_ANANTAPUR,2022,5539,2474
ANDHRAPRADESH_ANANTAPUR,2023,5568,2481
ANDHRAPRADESH_ANANTAPUR,2024,5588,2488
ANDHRAPRADESH_ANANTAPUR,2025,5621,2496
ANDHRAPRADESH_CHITTOOR,2001,2106,1010
ANDHRAPRADESH_CHITTOOR,2002,4630,2104
ANDHRAPRADESH_CHITTOOR,2003,4487,2054
ANDHRAPRADESH_CHITTOOR,2004,4432,1925
ANDHRAPRADESH_CHITTOOR,2005,4032,1692
ANDHRAPRADESH_CHITTOOR,2006,4077,1628
ANDHRAPRADESH_CHITTOOR,2007,4588,1994
ANDHRAPRADESH_CHITTOOR,2008,5090,2134
ANDHRAPRADESH_CHITTOOR,2009,4863,2181
ANDHRAPRADESH_CHITTOOR,2010,4987,2334
ANDHRAPRADESH_CHITTOOR,2011,4758,2230
ANDHRAPRADESH_CHITTOOR,2012,4555,2283
ANDHRAPRADESH_CHITTOOR,2013,4317,2187
ANDHRAPRADESH_CHITTOOR,2014,4634,2335
ANDHRAPRADESH_CHITTOOR,2015,4562,2356
ANDHRAPRADESH_CHITTOOR,2016,4674,2526
ANDHRAPRADESH_CHITTOOR,2017,4278,2409
ANDHRAPRADESH_CHITTOOR,2018,4989,2660
ANDHRAPRADESH_CHITTOOR,2019,4896,2259
ANDHRAPRADESH_CHITTOOR,2020,4907,2261
ANDHRAPRADESH_CHITTOOR,2021,4911,2261
ANDHRAPRADESH_CHITTOOR,2022,4928,2264
ANDHRAPRADESH_CHITTOOR,2023,4943,2267
ANDHRAPRADESH_CHITTOOR,2024,4958,2270
ANDHRAPRADESH_CHITTOOR,2025,4973,2273
ANDHRAPRADESH_EASTGODAVARI,2003,4284,1816
ANDHRAPRADESH_EASTGODAVARI,2004,6253,2173
ANDHRAPRADESH_EASTGODAVARI,2005,7346,2576
ANDHRAPRADESH_EASTGODAVARI,2006,6835,2649
ANDHRAPRADESH_EASTGODAVARI,2007,7198,3178
ANDHRAPRADESH_EASTGODAVARI,2010,13708,5666
ANDHRAPRADESH_EASTGODAVARI,2011,13849,5952
ANDHRAPRADESH_EASTGODAVARI,2012,13372,6100
ANDHRAPRADESH_EASTGODAVARI,2013,12399,5636
ANDHRAPRADESH_EASTGODAVARI,2014,12671,5994
ANDHRAPRADESH_EASTGODAVARI,2015,11892,5791
ANDHRAPRADESH_EASTGODAVARI,2016,11907,6066
ANDHRAPRADESH_EASTGODAVARI,2017,11851,6551
ANDHRAPRADESH_EASTGODAVARI,2018,10589,5708
ANDHRAPRADESH_EASTGODAVARI,2019,12263,5971
ANDHRAPRADESH_EASTGODAVARI,2020,12289,5972
ANDHRAPRADESH_EASTGODAVARI,2021,12295,5975
ANDHRAPRADESH_EASTGODAVARI,2022,12311,5978
ANDHRAPRADESH_EASTGODAVARI,2023,12320,5980
ANDHRAPRADESH_EASTGODAVARI,2024,12333,5982
ANDHRAPRADESH_EASTGODAVARI,2025,12346,5985
ANDHRAPRADESH_GUNTUR,2002,1707,606
ANDHRAPRADESH_GUNTUR,2003,7119,3027
ANDHRAPRADESH_GUNTUR,2004,7004,2768
ANDHRAPRADESH_GUNTUR,2005,7619,2981
ANDHRAPRADESH_GUNTUR,2006,7640,3377
ANDHRAPRADESH_GUNTUR,2007,6939,3248
ANDHRAPRADESH_GUNTUR,2008,6993,3278
ANDHRAPRADESH_GUNTUR,2009,7684,3376
ANDHRAPRADESH_GUNTUR,2010,8051,3523
ANDHRAPRADESH_GUNTUR,2011,7584,3426
ANDHRAPRADESH_GUNTUR,2012,7303,3370
ANDHRAPRADESH_GUNTUR,2013,6612,3204
ANDHRAPRADESH_GUNTUR,2014,7084,3389
ANDHRAPRADESH_GUNTUR,2015,6454,3013
ANDHRAPRADESH_GUNTUR,2016,6578,3166
ANDHRAPRADESH_GUNTUR,2017,6754,3296
ANDHRAPRADESH_GUNTUR,2018,6417,3095
ANDHRAPRADESH_GUNTUR,2019,7251,3255
ANDHRAPRADESH_GUNTUR,2020,7221,3257
ANDHRAPRADESH_GUNTUR,2021,7207,3256
ANDHRAPRADESH_GUNTUR,2022,7229,3260
ANDHRAPRADESH_GUNTUR,2023,7213,3261
ANDHRAPRADESH_GUNTUR,2024,7203,3261
ANDHRAPRADESH_GUNTUR,2025,7211,3264
ANDHRAPRADESH_KRISHNA,2003,4004,1789
ANDHRAPRADESH_KRISHNA,2004,5127,2075
ANDHRAPRADESH_KRISHNA,2005,5858,2327
ANDHRAPRADESH_KRISHNA,2006,5846,2253
ANDHRAPRADESH_KRISHNA,2007,5862,2555
ANDHRAPRADESH_KRISHNA,2008,5965,2685
ANDHRAPRADESH_KRISHNA,2009,5876,2574
ANDHRAPRADESH_KRISHNA,2010,5792,2575
ANDHRAPRADESH_KRISHNA,2011,5624,2617
ANDHRAPRADESH_KRISHNA,2012,5138,2468
ANDHRAPRADESH_KRISHNA,2013,4661,2142
ANDHRAPRADESH_KRISHNA,2014,5056,2420
ANDHRAPRADESH_KRISHNA,2015,4528,2161
ANDHRAPRADESH_KRISHNA,2016,5255,2405
ANDHRAPRADESH_KRISHNA,2017,5047,2392
ANDHRAPRADESH_KRISHNA,2018,5624,2827
ANDHRAPRADESH_KRISHNA,2019,5571,2523
ANDHRAPRADESH_KRISHNA,2020,5582,2528
ANDHRAPRADESH_KRISHNA,2021,5578,2533
ANDHRAPRADESH_KRISHNA,2022,5593,2540
ANDHRAPRADESH_KRISHNA,2023,5594,2545
ANDHRAPRADESH_KRISHNA,2024,5598,2551
ANDHRAPRADESH_KRISHNA,2025,5604,2557
ANDHRAPRADESH_KURNOOL,2003,4431,2038
ANDHRAPRADESH_KURNOOL,2004,5372,2148
ANDHRAPRADESH_KURNOOL,2005,6248,2095
ANDHRAPRADESH_KURNOOL,2006,5963,2105
ANDHRAPRADESH_KURNOOL,2007,5936,2050
ANDHRAPRADESH_KURNOOL,2008,6195,2117
ANDHRAPRADESH_KURNOOL,2009,5674,2042
ANDHRAPRADESH_KURNOOL,2010,5774,2197
ANDHRAPRADESH_KURNOOL,2011,5576,2159
ANDHRAPRADESH_KURNOOL,2012,5440,2170
ANDHRAPRADESH_KURNOOL,2013,5530,2161
ANDHRAPRADESH_KURNOOL,2014,5779,2238
ANDHRAPRADESH_KURNOOL,2015,5849,2339
ANDHRAPRADESH_KURNOOL,2016,5789,2378
ANDHRAPRADESH_KURNOOL,2017,5767,2435
ANDHRAPRADESH_KURNOOL,2018,6566,2785
ANDHRAPRADESH_KURNOOL,2019,5975,2256
ANDHRAPRADESH_KURNOOL,2020,5977,2257
