,Location,Year,total_cases,smear
4,ANDHRAPRADESH_ANANTAPUR,2001,3421,1552
5,ANDHRAPRADESH_ANANTAPUR,2002,5585,2399
6,ANDHRAPRADESH_ANANTAPUR,2003,5910,2811
7,ANDHRAPRADESH_ANANTAPUR,2004,5281,2388
8,ANDHRAPRADESH_ANANTAPUR,2005,5527,2359
9,ANDHRAPRADESH_ANANTAPUR,2006,5777,2543
10,ANDHRAPRADESH_ANANTAPUR,2007,6100,2684
11,ANDHRAPRADESH_ANANTAPUR,2008,5954,2777
12,ANDHRAPRADESH_ANANTAPUR,2009,5673,2634
13,ANDHRAPRADESH_ANANTAPUR,2010,5586,2600
14,ANDHRAPRADESH_ANANTAPUR,2011,5345,2457
15,ANDHRAPRADESH_ANANTAPUR,2012,4744,2214
16,ANDHRAPRADESH_ANANTAPUR,2013,4794,2256
17,ANDHRAPRADESH_ANANTAPUR,2014,5266,2448
18,ANDHRAPRADESH_ANANTAPUR,2015,5038,2269
19,ANDHRAPRADESH_ANANTAPUR,2016,5068,2531
20,ANDHRAPRADESH_ANANTAPUR,2017,5122,2446
21,ANDHRAPRADESH_ANANTAPUR,2018,5090,2761
22,ANDHRAPRADESH_CHITTOOR,2001,2106,1010
23,ANDHRAPRADESH_CHITTOOR,2002,4630,2104
24,ANDHRAPRADESH_CHITTOOR,2003,4487,2054
25,ANDHRAPRADESH_CHITTOOR,2004,4432,1925
26,ANDHRAPRADESH_CHITTOOR,2005,4032,1692
27,ANDHRAPRADESH_CHITTOOR,2006,4077,1628
28,ANDHRAPRADESH_CHITTOOR,2007,4588,1994
29,ANDHRAPRADESH_CHITTOOR,2008,5090,2134
30,ANDHRAPRADESH_CHITTOOR,2009,4863,2181
31,ANDHRAPRADESH_CHITTOOR,2010,4987,2334
32,ANDHRAPRADESH_CHITTOOR,2011,4758,2230
33,ANDHRAPRADESH_CHITTOOR,2012,4555,2283
34,ANDHRAPRADESH_CHITTOOR,2013,4317,2187
35,ANDHRAPRADESH_CHITTOOR,2014,4634,2335
36,ANDHRAPRADESH_CHITTOOR,2015,4562,2356
37,ANDHRAPRADESH_CHITTOOR,2016,4674,2526
38,ANDHRAPRADESH_CHITTOOR,2017,4278,2409
39,ANDHRAPRADESH_CHITTOOR,2018,4989,2660
40,ANDHRAPRADESH_EASTGODAVARI,2003,4284,1816
41,ANDHRAPRADESH_EASTGODAVARI,2004,6253,2173
42,ANDHRAPRADESH_EASTGODAVARI,2005,7346,2576
43,ANDHRAPRADESH_EASTGODAVARI,2006,6835,2649
44,ANDHRAPRADESH_EASTGODAVARI,2007,7198,3178
45,ANDHRAPRADESH_EASTGODAVARI,2010,13708,5666
46,ANDHRAPRADESH_EASTGODAVARI,2011,13849,5952
47,ANDHRAPRADESH_EASTGODAVARI,2012,13372,6100
48,ANDHRAPRADESH_EASTGODAVARI,2013,12399,5636
49,ANDHRAPRADESH_EASTGODAVARI,2014,12671,5994
50,ANDHRAPRADESH_EASTGODAVARI,2015,11892,5791
