Sr. No.,State-District,Spread rate
1,MADHYAPRADESH SATNA,53.76
2,UTTARPRADESH FIROZABAD,39.65
3,UTTARAKHAND DEHRADUN,34.51
4,WEST BENGAL PURBA MEDINIPUR,29.43
5,UTTAR PRADESH KANPUR NAGAR,27.21
6,PUNJAB JALANDHAR,23.1
7,TAMILNADU COIMBATORE,17.56
8,GOA NORTH GOA,17.29
9,TAMILNADU MADURAI,16.49
10,PUNJAB LUDHIANA,14.38
11,GOA SOUTHGOA,9.81
12,CHANDIGARH CHANDIGARH,8.26
13,MAHARASHTRA NAGPUR,8.13
14,GUJARAT SURAT,3.96
15,MAHARASHTRA SOLAPUR,3.17
16,MAHARASHTRA THANE,3.15
17,ODISHA KHORDHA,3.12
18,UTTARPRADESH SONBHADRA,2.67
19,JHARKHAND EASTSINGHBHUM,2.25
20,CHHATTISGARH DURG,2.2
21,NATIONAL CAPITAL TERRITORY OF DELHI CENTRAL DELHI,2.13
22,MADHYAPRADESH BHOPAL,1.94
23,PUDUCHERRY PONDICHERRY,1.8
24,RAJASTHAN JAIPUR,1.73
25,KARNATAKA BENGALURU RURAL,1.72
26,UTTAR PRADESH LUCKNOW,1.6
27,UTTARPRADESH GHAZIABAD,1.36
28,HIMACHAL PRADESH SOLAN,1.33
29,ODISHA CUTTACK,1.3
30,MADHYAPRADESH GWALIOR,1.29
31,RAJASTHAN ALWAR,1.28
32,CHHATTISGARH RAIPUR,1.24
33,GUJARAT VADODARA,1.22
34,MADHYAPRADESH CHHATARPUR,1.18
35,MADHYAPRADESH UJJAIN,1.18
36,MADHYA PRADESH INDORE,1.16
37,GUJARAT BHARUCH,1.12
38,TELANGANA HYDERABAD,1.09
39,HARYANA FARIDABAD,0.96
40,UTTARPRADESH VARANASI,0.96
41,MADHYA PRADESH JABALPUR,0.84
42,TAMILNADU CHENNAI,0.76
43,UTTARPRADESH AGRA,0.72
44,TELANGANA WARANGAL URBAN,0.72
45,ASSAM DIBRUGARH,0.69
46,ASSAM HAILAKANDI,0.59
47,RAJASTHAN UDAIPUR,0.58
48,RAJASTHAN KOTA,0.56
49,ASSAM SIVASAGAR,0.54
50,RAJASTHAN JODHPUR,0.5
51,ASSAM KAMRUP,0.49
52,MADHYAPRADESH DEWAS,0.49
53,UTTAR PRADESH GORAKHPUR,0.45
54,KARNATAKA DAKSHINAKANNADA,0.43
55,UTTARAKHAND NAINITAL,0.41
56,PUNJAB PATIALA,0.41
57,ASSAM CACHAR,0.41
58,KARNATAKA DHARWAD,0.41
59,ANDHRAPRADESH VISAKHAPATNAM,0.38
60,ASSAM GOLAGHAT,0.37
61,WESTBENGAL HOWRAH,0.36
62,KARNATAKA RAICHUR,0.36
63,UTTARPRADESH JHANSI,0.34
64,UTTAR PRADESH GAUTAM BUDDH NAGAR,0.33
65,HIMACHALPRADESH SHIMLA,0.33
66,MIZORAM AIZAWL,0.32
67,MIZORAM CHAMPHAI,0.31
68,MEGHALAYA EAST KHASI HILLS,0.29
69,JHARKHAND RANCHI,0.25
70,HARYANA PANCHKULA,0.25
71,KERALA THIRUVANANTHAPURAM,0.24
72,MADHYAPRADESH RATLAM,0.23
73,GUJARAT GANDHINAGAR,0.23
74,UTTARPRADESH BULANDSHAHR,0.23
75,BIHAR PATNA,0.22
76,UTTAR PRADESH MATHURA,0.21
77,MAHARASHTRA AURANGABAD,0.2
78,MAHARASHTRA AKOLA,0.19
79,ASSAM SONITPUR,0.18
80,UTTARPRADESH BAREILLY,0.17
81,ANDHRAPRADESH CHITTOOR,0.17
82,KARNATAKA KALABURAGI,0.17
83,TAMILNADU SALEM,0.16
84,GUJARAT JAMNAGAR,0.15
85,KERALA KOZHIKODE,0.15
86,ANDHRAPRADESH KURNOOL,0.15
87,GUJARAT RAJKOT,0.15
88,UTTARPRADESH ALLAHABAD,0.14
89,MADHYAPRADESH SINGRAULI,0.14
90,GUJARAT AHMEDABAD,0.13
91,ANDHRAPRADESH VIZIANAGARAM,0.12
92,MAHARASHTRA NANDED,0.11
93,MAHARASHTRA NASHIK,0.1
94,ASSAM JORHAT,0.1
95,CHHATTISGARH KORBA,0.1
96,KARNATAKA HAVERI,0.08
97,MADHYAPRADESH SHAHDOL,0.07
98,MADHYAPRADESH HOSHANGABAD,0.07
99,ANDHRAPRADESH ANANTAPUR,0.07
100,ODISHA PURI,0.07
101,CHHATTISGARH BILASPUR,0.07
102,RAJASTHAN BUNDI,0.06
103,MAHARASHTRA PUNE,0.06
104,MAHARASHTRA LATUR,0.06
105,ODISHA RAYAGADA,0.05
106,HARYANA HISSAR,0.04
107,ODISHA ANGUL,0.03
108,KARNATAKA DAVANAGERE,0.02
109,HARYANA BHIWANI,0.02
110,NAGALAND DIMAPUR,0.02
111,ASSAM TINSUKIA,0.02
112,ASSAM DHEMAJI,0.02
113,MAHARASHTRA CHANDRAPUR,0.02
114,KARNATAKA BELAGAVI,0.01
115,PUNJAB SAHIBZADA AJIT SINGH NAGAR,0.01
116,MADHYAPRADESH DHAR,0.01
117,ANDHRAPRADESH SRIKAKULAM,0.01
118,ODISHA BALASORE,0
119,JHARKHAND DHANBAD,0
120,MEGHALAYA RI BHOI,0
121,GUJARAT MORBI,0
122,SIKKIM EAST SIKKIM,0
123,TELANGANA SANGAREDDY,0
124,KARNATAKA CHITRADURGA,-0.01
125,UTTARPRADESH MEERUT,-0.01
126,ASSAM NAGAON,-0.01
127,MAHARASHTRA AMRAVATI,-0.01
128,ASSAM KARBIANGLONG,-0.01
129,HIMACHALPRADESH SIRMAUR,-0.02
130,KARNATAKA BIDAR,-0.02
131,ANDHRAPRADESH GUNTUR,-0.02
132,MIZORAM KOLASIB,-0.03
